function_name,timestamp,duration_seconds,pid,arguments,return_value
"hipLaunchKernel","12:29:48.119891","0.001640","2368223","0x7fcfbb7d9280, 0x13600000136, 1, 0x2000000020","0"
"__hipPushCallConfiguration","12:29:48.122696","0.001115","2368223","0x13600000136, 1, 0x2000000020, 1","0"
"__hipPopCallConfiguration","12:29:48.123901","0.001179","2368223","0x7f8fa21e0a90, 0x7f8fa21e0ad8, 0x7f8fa21e0ad0, 0x7f8fa21e0ac8","0"
"hipLaunchKernel","12:29:48.125148","0.001136","2368223","0x7fcfbb7d9280, 0x13600000136, 1, 0x2000000020","0"
"__hipPushCallConfiguration","12:29:48.127472","0.001118","2368223","0x13600000136, 1, 0x2000000020, 1","0"
"__hipPopCallConfiguration","12:29:48.128666","0.001244","2368223","0x7f8fa21e0a90, 0x7f8fa21e0ad8, 0x7f8fa21e0ad0, 0x7f8fa21e0ac8","0"
"hipLaunchKernel","12:29:48.129986","0.001139","2368223","0x7fcfbb7d9280, 0x13600000136, 1, 0x2000000020","0"
"__hipPushCallConfiguration","12:29:48.132386","0.001224","2368223","0x13600000136, 1, 0x2000000020, 1","0"
"__hipPopCallConfiguration","12:29:48.133703","0.001248","2368223","0x7f8fa21e0a90, 0x7f8fa21e0ad8, 0x7f8fa21e0ad0, 0x7f8fa21e0ac8","0"
"hipLaunchKernel","12:29:48.135146","0.001319","2368223","0x7fcfbb7d9280, 0x13600000136, 1, 0x2000000020","0"
"__hipPushCallConfiguration","12:29:48.148083","0.001345","2368223","0x13600000136, 1, 0x2000000020, 1","0"
"__hipPopCallConfiguration","12:29:48.149555","0.001243","2368223","0x7f8fa21e0a90, 0x7f8fa21e0ad8, 0x7f8fa21e0ad0, 0x7f8fa21e0ac8","0"
"__hipPushCallConfiguration","12:29:48.230087","0.000904","2368222","0x13600000136, 1, 0x2000000020, 1","0"
"hipLaunchKernel","12:29:48.234757","0.000907","2368223","0x7fcfbb7d9280, 0x13600000136, 1, 0x2000000020","0"
"__hipPushCallConfiguration","12:29:48.305916","0.000971","2368223","0x13600000136, 1, 0x2000000020, 1","0"
"__hipPopCallConfiguration","12:29:48.306957","0.000946","2368223","0x7f8fa21e0a90, 0x7f8fa21e0ad8, 0x7f8fa21e0ad0, 0x7f8fa21e0ac8","0"
"hipLaunchKernel","12:29:48.307961","0.000982","2368223","0x7fcfbb7d9280, 0x13600000136, 1, 0x2000000020","0"
"__hipPushCallConfiguration","12:29:48.309913","0.030274","2368223","0x13600000136, 1, 0x2000000020, 1","0"
"__hipPopCallConfiguration","12:29:48.340320","0.001028","2368223","0x7f8fa21e0a90, 0x7f8fa21e0ad8, 0x7f8fa21e0ad0, 0x7f8fa21e0ac8","0"
"hipLaunchKernel","12:29:48.341410","0.001024","2368223","0x7fcfbb7d9280, 0x13600000136, 1, 0x2000000020","0"
"__hipPushCallConfiguration","12:29:48.343458","0.001000","2368223","0x13600000136, 1, 0x2000000020, 1","0"
"__hipPopCallConfiguration","12:29:48.344638","0.001088","2368223","0x7f8fa21e0a90, 0x7f8fa21e0ad8, 0x7f8fa21e0ad0, 0x7f8fa21e0ac8","0"
"hipLaunchKernel","12:29:48.345796","0.000907","2368223","0x7fcfbb7d9280, 0x13600000136, 1, 0x2000000020","0"
"__hipPushCallConfiguration","12:29:48.347645","0.000882","2368223","0x13600000136, 1, 0x2000000020, 1","0"
"__hipPopCallConfiguration","12:29:48.348597","0.001043","2368223","0x7f8fa21e0a90, 0x7f8fa21e0ad8, 0x7f8fa21e0ad0, 0x7f8fa21e0ac8","0"
"__hipPopCallConfiguration","12:29:48.357210","0.000906","2368222","0x7f8fa29e1a90, 0x7f8fa29e1ad8, 0x7f8fa29e1ad0, 0x7f8fa29e1ac8","0"
"__hipPopCallConfiguration","12:29:48.382926","0.000955","2368223","0x7f8fa21e0a90, 0x7f8fa21e0ad8, 0x7f8fa21e0ad0, 0x7f8fa21e0ac8","0"
"hipLaunchKernel","12:29:48.383953","0.000997","2368223","0x7fcfbb7d9280, 0x13600000136, 1, 0x2000000020","0"
"__hipPushCallConfiguration","12:29:48.385022","0.000940","2368223","0x13600000136, 1, 0x2000000020, 1","0"
"__hipPopCallConfiguration","12:29:48.394587","0.000871","2368222","0x7f8fa29e1a90, 0x7f8fa29e1ad8, 0x7f8fa29e1ad0, 0x7f8fa29e1ac8","0"
